name|description|result|year_founded
decide.com|this is a desc|ipo|2009
43 things|People have known for years that making a list of goals is the best way to achieve them. But most of us never get around to making a list. 43 Things is great for that! Make a list on 43 Things and see what changes happen in your life. Best of all it's a way of connecting with other enthusiasts interested in everything from watching a space shuttle launch to grow my own vegetables.|dead|2004
Activate Healthcare|Activate Healthcare engages patients to take charge of their own health by delivering proactive, preventive primary care at or near an employer’s location. Predictive modeling tools are leveraged to identify high-risk patients so the medical staff can engage with these patients to proactively reduce their health risks and guide them in managing their health. Activate Healthcare provides a comprehensive process to engage and empower patients to manage their health. It begins with an annual physical which enables our staff to know more about the patient before he or she meets with the doctor than many physicians know after the visit. During the annual physical, the patient usually spends 30 – 45 minutes with the physician undergoing a comprehensive physical. Patients then meet for 30 – 45 minutes with a Health Coach to develop tailored action plans and health goals along with individualized incentives for reaching their goals. Online resources, and tailored ongoing coaching empowers patients to achieve their specific health goals.|acquired|2009
Adaptive Technologies|Adaptive Biotechnologies translates a scale and precision of the adaptive immune system into products to diagnose and treat disease. The company brings accuracy and sensitivity of our immunosequencing platform into laboratories around the world to drive groundbreaking research in cancer and other immune-mediated diseases. We are also committed to translating immunosequencing discoveries into clinical diagnostics and therapeutic development to improve patient care.|alive|2009
Adamis Pharmaceuticals|Adamis Pharmaceuticals Corporation (ADMP) is a biopharmaceutical company engaged in the development and commercialization of specialty pharmaceutical and biotechnology products in the therapeutic areas of respiratory disease, allergy, oncology and immunology. In its specialty pharmaceutical pipeline, ADMP is developing low cost therapeutic alternatives for the treatment of anaphylaxis, asthma, chronic obstructive pulmonary disease (COPD) and allergic rhinitis. Within the Company's biotechnology pipeline is a novel cell-based therapeutic cancer vaccine and three drug candidates for the treatment of prostate cancer.|ipo|2006
ADR Sales Concepts|ADR Sales & Concepts provides search engine optimization (SEO) and marketing solutions for businesses. It was founded in 2008 and is based in Santa Monica, California, United States.|dead|2008
Graematter|The original concept for the regulatory intelligence system was conceived by Graematter’s founder, Melissa Walker, in 1999. An early-stage, pre-prototype version of the system was first created in 2000. It began as an effort to simply improve the ability to locate key information. As the volume of regulatory information began to expand dramatically and as the regulatory environment became increasingly complex, it continued to evolve. Over time, Ms. Walker developed an intelligence system that provided simple, lower cost ways to better retrieve and analyze large amounts of data that reside in numerous locations. The evolving system has been in continuous use in actual applications during that time as its capabilities were expanded and improved.|alive|2000
Dhingana|Dhingana is an Indian on-demand music service that wants its users to discover new traditional Indian and Bollywood music across the globe. Dhingana gives access to millions of songs in more than 35 Indian languages and genres. The service is available for iOS, Blackberry, Google's Play Store, Nokia Devices and on its homepage. Dhingana users can share music on Facebook and see what people are listening to via Facebook's Open Graph. Users discovering music are able to like, favorite and comment on albums and playlists. With Dhingana Gold, subscribers can enjoy premium features like download and offline sync unlimited songs, access to music in HD quality, ad-free experience and ability to sync downloads across up to two devices. Launched in 2007, Dhingana was founded by twin brothers, Snehal & Swapnil Shinde and Sushil Choudhari, former employees of Yahoo Microsoft and Symantec. The service is based out in Silicon Valley’s Sunnyvale with offices in Pune, India.|alive|2007
CombineNet|CombineNet, Inc. is the advanced sourcing technology company, with over 10 years of delivering strong value to mid-sized and global organizations alike, across nearly all industries, as they make supplier and spend decisions on products and services. CombineNet's product ASAP (Advanced Sourcing Application Platform) is a web-based software-as-a-service solution that allows sourcing teams in any spend category to speed and simplify the creation, launch, and management of sourcing events of any size, scale, or complexity.|acquired|2000
Amnis|Amnis Corporation engages in the development, manufacture, and marketing of cell analysis systems for the imaging and analysis of cells in flow. It provides ImageStream, an instrument that combines the functionalities of microscopy and flow cytometry in a single platform for various applications in drug discovery, basic biomedical research, and diagnostics. The company also offers upgrades for ImageStream system to add additional functionality, including violet and red lasers, and an extended depth of field technology (EDF) option. In addition, it provides IDEAS, a cell image analysis software that is used for the quantitative analysis of cell images, as well as for the evaluation of image-based data in various cell populations. Further, the company provides a calibration reagent for the operation of ImageStream system that allows the instrument to track flow rate and core position; and a sheath solution for the functioning of ImageStream system. Its systems are used in apoptosis, immune synapse analysis, nuclear translocation, leukocyte classification, cell cycle analysis, cell morphology analysis, intracellular molecular trafficking, surface markers co-localization, and gene expression quantitation applications. The company offers its products to academic, biotechnology, and pharmaceutical customers. Amnis Corporation was founded in 1998 and is headquartered in Seattle, Washington.|ipo|1999
FlashNotes|What we do: Flashnotes provides college students with immediate access to online tutors and student created, course-specific study materials they need to achieve academic success. Why it matters: Knowledge gaps exist for nearly every student and 50% of all college students do not graduate. Why it's better: The Flashnotes Do Better Guarantee ensures a student’s grade will improve or they will receive a full refund. At the same time Luvo empowers sellers to set their own price to earn the compensation their expertise and experience should command.|dead|2009
Breaktime Studios|Breaktime Studios develops engaging social games for mobile platforms. We make snackable experiences - small, fast and satisfying games that are accessible fun for everyone.|alive|2011
